Region,InstanceType,CPU,Memory,Cost
ap-east-1,r5.xlarge,4,32 GiB,0.4020000000
sa-east-1,c6in.16xlarge,64,128 GiB,5.5776000000
us-west-2,r6i.16xlarge,64,512 GiB,4.0320000000
me-central-1,m5d.4xlarge,16,64 GiB,3.0290000000
us-gov-east-1,c6i.32xlarge,128,256 GiB,54.5280000000
us-east-2,i3en.6xlarge,24,192 GiB,11.7120000000
eu-west-1,c6id.16xlarge,64,128 GiB,5.1102400000
ap-south-1,r5ad.4xlarge,16,128 GiB,0.6640000000
sa-east-1,c4.4xlarge,16,30 GiB,1.6340000000
ap-northeast-2,c6i.large,2,4 GiB,0.0960000000
ap-northeast-1,m5zn.6xlarge,24,96 GiB,2.9658000000
eu-west-1,m6id.24xlarge,96,384 GiB,42.9854400000
eu-west-2,c5a.24xlarge,96,192 GiB,5.9900000000
us-east-2,r6a.4xlarge,16,128 GiB,6.9072000000
eu-west-2,r4.8xlarge,32,244 GiB,3.2864000000
ca-central-1,g4ad.8xlarge,32,128 GiB,1.9360000000
us-gov-east-1,i3en.6xlarge,24,192 GiB,12.2760000000
eu-west-2,inf1.2xlarge,8,16 GiB,0.4490000000
us-east-1,r6g.medium,1,8 GiB,0.0504000000
eu-west-3,r5a.24xlarge,96,768 GiB,42.3840000000
me-south-1,inf1.24xlarge,96,192 GiB,7.4090000000
eu-central-1,z1d.6xlarge,24,192 GiB,3.1060000000
us-east-2,r5ad.16xlarge,64,512 GiB,28.4440000000
us-east-1,r6id.12xlarge,48,384 GiB,3.9916800000
eu-north-1,c5a.xlarge,4,8 GiB,1.6640000000
eu-west-1,r6in.32xlarge,128,1024 GiB,27.8649600000
eu-north-1,c6i.12xlarge,48,96 GiB,3.2136000000
us-east-1,r6a.4xlarge,16,128 GiB,2.9179200000
eu-west-3,r6gd.4xlarge,16,128 GiB,1.1465000000
eu-central-1,c6i.2xlarge,8,16 GiB,3.3880000000
us-east-2,m6in.metal,128,512 GiB,11.0739200000
ap-northeast-2,x2iedn.xlarge,4,128 GiB,1.2764100000
us-east-1,a1.metal,16,32 GiB,0.4080000000
eu-central-1,r5ad.24xlarge,96,768 GiB,19.1040000000
us-east-1,i4i.metal,128,1024 GiB,13.1460000000
ap-northeast-1,m5dn.2xlarge,8,32 GiB,0.7470000000
ap-southeast-2,i4i.xlarge,4,32 GiB,1.9110000000
us-east-2,m6id.2xlarge,8,32 GiB,1.4346000000
ap-south-1,c6i.metal,128,256 GiB,5.4400000000
us-gov-west-1,m4.2xlarge,8,32 GiB,1.5144000000
us-gov-west-1,r5ad.8xlarge,32,256 GiB,6.5210000000
ap-southeast-2,x2iedn.xlarge,4,128 GiB,1.2088100000
ap-southeast-2,c5n.4xlarge,16,42 GiB,3.0480000000
us-east-2,r3.8xlarge,32,244 GiB,6.4960000000
ap-east-1,c5d.2xlarge,8,16 GiB,3.5230000000
us-east-2,r3.large,2,15.25 GiB,0.2500000000
me-south-1,c6gn.2xlarge,8,16 GiB,0.4716800000
ap-northeast-2,m5zn.12xlarge,48,192 GiB,5.6832000000
eu-west-1,m5a.12xlarge,48,192 GiB,8.0640000000
us-west-2,r6i.12xlarge,48,384 GiB,3.3264000000
us-west-1,t4g.small,2,2 GiB,0.0200000000
ap-south-1,i3en.6xlarge,24,192 GiB,12.0840000000
sa-east-1,c6g.medium,1,2 GiB,0.0555000000
ap-northeast-1,cr1.8xlarge,32,244 GiB,4.1050000000
ap-southeast-1,c4.4xlarge,16,30 GiB,1.1900000000
us-west-1,m6a.24xlarge,96,384 GiB,16.8422400000
us-east-2,inf1.xlarge,4,8 GiB,0.3090000000
ap-northeast-3,x2iedn.metal,128,4096 GiB,40.8472000000
ap-northeast-2,r5n.16xlarge,64,512 GiB,5.6960000000
ap-southeast-2,m6a.32xlarge,128,512 GiB,9.7664000000
us-west-2,i3.xlarge,4,30.5 GiB,1.8120000000
ap-southeast-2,c6id.2xlarge,8,16 GiB,1.4892000000
ap-southeast-1,r5dn.4xlarge,16,128 GiB,1.6970000000
us-west-2-sea-1,c5d.12xlarge,48,96 GiB,2.8800000000
ap-southeast-3,x2idn.32xlarge,128,2048 GiB,67.3410000000
us-east-2,x2iedn.xlarge,4,128 GiB,2.3336300000
ap-northeast-3,i4i.8xlarge,32,256 GiB,4.0840000000
eu-west-1,x2gd.16xlarge,64,1024 GiB,7.0400000000
eu-west-1,c5d.metal,96,192 GiB,41.2320000000
eu-central-1,c5d.2xlarge,8,16 GiB,0.6080000000
us-east-2,r6id.2xlarge,8,64 GiB,0.6048000000
us-east-1,i3en.2xlarge,8,64 GiB,1.0980000000
eu-central-1,d3.xlarge,4,32 GiB,0.7240000000
ap-east-1,c5d.2xlarge,8,16 GiB,0.6270000000
me-central-1,t4g.micro,2,1 GiB,0.0102000000
eu-central-1,c5d.4xlarge,16,32 GiB,0.8880000000
us-east-1,c6gn.8xlarge,32,64 GiB,1.3824000000
me-south-1-mct-1,t3.xlarge,4,16 GiB,1.7307000000
eu-north-1,c5n.18xlarge,72,192 GiB,31.1760000000
ca-central-1,c5d.4xlarge,16,32 GiB,6.8480000000
eu-central-2,c5d.xlarge,4,8 GiB,0.2590000000
eu-central-1,m4.xlarge,4,16 GiB,1.7640000000
eu-west-3,i3.2xlarge,8,61 GiB,3.7240000000
af-south-1,i3en.large,2,16 GiB,0.7770000000
us-west-2,x2iezn.2xlarge,8,256 GiB,1.8032000000
us-east-2,r5dn.large,2,16 GiB,0.1770000000
